Date,GRA Purchases,PRGT 1/2/,Totals,Year,GDP,%_Credit_Divided_by_World_GDP
12/31/2022,96930343222,15871251001,112.80,2022,101560.901,0.1111
12/31/2021,89474552025,14554823681,104.03,2021,97076.276,0.1072
12/31/2020,93408630285,12481816684,105.89,2020,85440.667,0.1239
12/31/2019,66945509865,6590835450,73.54,2019,87654.342,0.0839
12/31/2018,55395611392,6426181029,61.82,2018,86209.627,0.0717
12/31/2017,39585385873,6522280669,46.11,2017,81036.151,0.0569
12/31/2016,49267630851,6482647937,55.75,2016,76211.252,0.0732
12/31/2015,50757840741,6575911158,57.33,2015,74944.46,0.0765
12/31/2014,69041563463,6292755583,75.33,2014,79429.015,0.0948
12/31/2013,83899249061,6174392682,90.07,2013,77365.52,0.1164
12/31/2012,90042348252,5766292503,95.81,2012,75196.673,0.1274
12/31/2011,87276915790,5308609594,92.59,2011,73773.48,0.1255
12/31/2010,55620104510,4819344134,60.44,2010,66484.526,0.0909
12/31/2009,37221142436,5079705286,42.30,2009,60782.123,0.0696
12/31/2008,17514964723,3972372030,21.49,2008,64162.47,0.0335
12/31/2007,6036146757,3796945581,9.83,2007,58461.908,0.0168
12/31/2006,9822640239,3844020520,13.67,2006,51783.269,0.0264
12/31/2005,28432143237,6282121668,34.71,2005,47811.372,0.0726
12/31/2004,55373766674,6766029353,62.14,2004,44134.371,0.1408
12/31/2003,65032062712,6880893268,71.91,2003,39210.202,0.1834
12/31/2002,63601058794,6868671012,70.47,2002,34915.511,0.2018
12/31/2001,53477225409,6424578684,59.90,2001,33801.014,0.1772
12/31/2000,42990531049,6331595468,49.32,2000,34053.083,0.1448
12/31/1999,51061861875,6434274362,57.50,1999,32960.333,0.1744
12/31/1998,60451017051,6288825925,66.74,1998,31835.015,0.2096
12/31/1997,46559033783,6009867422,52.57,1997,31990.92,0.1643
12/31/1996,36127472805,5881609752,42.01,1996,32079.199,0.1310
12/31/1995,35929173412,5657438528,41.59,1995,31211.513,0.1332
12/31/1994,25611676952,4599768498,30.21,1994,27998.304,0.1079
12/31/1993,25196745031,3942792899,29.14,1993,26051.093,0.1119
12/31/1992,23967172718,3804463796,27.77,1992,25339.142,0.1096
12/31/1991,23378573926,3285717796,26.66,1991,24504.027,0.1088
12/31/1990,20731851093,2571911617,23.30,1990,23663.342,0.0985
12/31/1989,22315104224,2334886562,24.65,1989,20127.802,0.1225
12/31/1988,24750004884,1773964293,26.52,1988,19131.406,0.1386
12/31/1987,28751979125,1866342930,30.62,1987,17013.016,0.1800
12/31/1986,33334905644,2013169931,35.35,1986,14776.085,0.2392
12/31/1985,35194787249,2470247948,37.67,1985,12531.04,0.3006
12/31/1984,34936772393,2769874900,37.71,1984,12001.655,0.3142
