Country,date,Life Expectancy,Health Expenditure
United Kingdom,2021,,
United Kingdom,2020,80.90243902,80.90243902
United Kingdom,2019,81.20487805,81.20487805
United Kingdom,2018,81.25609756,81.25609756
United Kingdom,2017,81.25609756,81.25609756
United Kingdom,2016,81.15609756,81.15609756
United Kingdom,2015,80.95609756,80.95609756
United Kingdom,2014,81.30487805,81.30487805
United Kingdom,2013,81.00487805,81.00487805
United Kingdom,2012,80.90487805,80.90487805
United Kingdom,2011,80.95121951,80.95121951
United Kingdom,2010,80.40243902,80.40243902
United Kingdom,2009,80.05121951,80.05121951
United Kingdom,2008,79.6,79.6
United Kingdom,2007,79.44878049,79.44878049
United Kingdom,2006,79.24878049,79.24878049
United Kingdom,2005,79.04878049,79.04878049
United Kingdom,2004,78.74634146,78.74634146
United Kingdom,2003,78.44634146,78.44634146
United Kingdom,2002,78.14390244,78.14390244
United Kingdom,2001,77.99268293,77.99268293
United Kingdom,2000,77.74146341,77.74146341
United Kingdom,1999,77.3902439,77.3902439
United Kingdom,1998,77.1902439,77.1902439
United Kingdom,1997,77.21097561,77.21097561
United Kingdom,1996,77.08780488,77.08780488
United Kingdom,1995,76.83658537,76.83658537
United Kingdom,1994,76.88536585,76.88536585
United Kingdom,1993,76.38536585,76.38536585
United Kingdom,1992,76.43414634,76.43414634
United Kingdom,1991,76.08292683,76.08292683
United Kingdom,1990,75.8804878,75.8804878
United Kingdom,1989,75.58292683,75.58292683
United Kingdom,1988,75.3804878,75.3804878
United Kingdom,1987,75.2804878,75.2804878
United Kingdom,1986,74.92926829,74.92926829
United Kingdom,1985,74.62926829,74.62926829
United Kingdom,1984,74.77804878,74.77804878
United Kingdom,1983,74.37804878,74.37804878
United Kingdom,1982,74.17804878,74.17804878
United Kingdom,1981,74.02682927,74.02682927
United Kingdom,1980,73.67560976,73.67560976
United Kingdom,1979,73.27560976,73.27560976
United Kingdom,1978,73.17560976,73.17560976
United Kingdom,1977,73.22439024,73.22439024
United Kingdom,1976,72.77560976,72.77560976
