Date,Value,Year,
01/08/1980,648.75,1980,
01/09/1980,665.42,1980,
01/10/1980,676.85,1980,
01/11/1980,724.78,1980,
01/12/1980,698.07,1980,
01/01/1981,676.91,1981,
01/02/1981,670.66,1981,
01/03/1981,707.05,1981,
01/04/1981,724.13,1981,
01/05/1981,740.8,1981,
01/06/1981,708.95,1981,
01/07/1981,687.8,1981,
01/08/1981,631.29,1981,
01/09/1981,575.02,1981,
01/10/1981,622.23,1981,
01/11/1981,639.75,1981,
01/12/1981,620.23,1981,
01/01/1982,594.75,1982,
01/02/1982,564.67,1982,
01/03/1982,553.3,1982,
01/04/1982,579.4,1982,
01/05/1982,554.9,1982,
01/06/1982,525.72,1982,
01/07/1982,510.92,1982,
01/08/1982,541.48,1982,
01/09/1982,570.64,1982,
01/10/1982,644.69,1982,
01/11/1982,705.76,1982,
01/12/1982,708.85,1982,
01/01/1983,755.98,1983,
01/02/1983,792.7,1983,
01/03/1983,823.5,1983,
01/04/1983,884.75,1983,
01/05/1983,926.5,1983,
01/06/1983,953.55,1983,
01/07/1983,905.8,1983,
01/08/1983,868.78,1983,
01/09/1983,876.9,1983,
01/10/1983,809.37,1983,
01/11/1983,840.44,1983,
01/12/1983,818.81,1983,
01/01/1984,784.35,1984,
01/02/1984,734.22,1984,
01/03/1984,727.76,1984,
01/04/1984,714.61,1984,
01/05/1984,670.29,1984,
01/06/1984,688.04,1984,
01/07/1984,656.94,1984,
01/08/1984,725.47,1984,
01/09/1984,708.58,1984,
01/10/1984,698.27,1984,
01/11/1984,685.26,1984,
01/12/1984,698.55,1984,
01/01/1985,786.49,1985,
01/02/1985,798.32,1985,
01/03/1985,781.2,1985,
01/04/1985,781.47,1985,
01/05/1985,806.97,1985,
01/06/1985,819.59,1985,
01/07/1985,832.19,1985,
01/08/1985,820.76,1985,
01/09/1985,770.54,1985,
01/10/1985,801.16,1985,
01/11/1985,857.53,1985,
01/12/1985,885.03,1985,
01/01/1986,912.03,1986,
01/02/1986,979.28,1986,
01/03/1986,1025.18,1986,
01/04/1986,1050.35,1986,
01/05/1986,1094.15,1986,
01/06/1986,1102.55,1986,
01/07/1986,1009.84,1986,
01/08/1986,1039.19,1986,
01/09/1986,947.59,1986,
01/10/1986,973.8,1986,
01/11/1986,969.84,1986,
01/12/1986,939.67,1986,
01/01/1987,1049.65,1987,
01/02/1987,1133.9,1987,
01/03/1987,1142.35,1987,
01/04/1987,1103.83,1987,
01/05/1987,1096.23,1987,
01/06/1987,1113.99,1987,
01/07/1987,1137.7,1987,
01/08/1987,1183.91,1987,
01/09/1987,1150.29,1987,
01/10/1987,834.76,1987,
01/11/1987,787.42,1987,
01/12/1987,852.69,1987,
01/01/1988,886.91,1988,
01/02/1988,941.72,1988,
01/03/1988,957.1,1988,
01/04/1988,963.93,1988,
01/05/1988,938.34,1988,
01/06/1988,995.83,1988,
01/07/1988,972.9,1988,
01/08/1988,942.25,1988,
01/09/1988,963.43,1988,
01/10/1988,947.45,1988,
01/11/1988,919.46,1988,
01/12/1988,942.44,1988,
01/01/1989,986.4,1989,
01/02/1989,978.47,1989,
01/03/1989,989.91,1989,
01/04/1989,1033.94,1989,
01/05/1989,1073.11,1989,
01/06/1989,1044.28,1989,
01/07/1989,1085.94,1989,
01/08/1989,1121.16,1989,
01/09/1989,1126.45,1989,
01/10/1989,1079.77,1989,
01/11/1989,1078.68,1989,
01/12/1989,1073.78,1989,
01/01/1990,971.72,1990,
01/02/1990,990.41,1990,
01/03/1990,1007.31,1990,
01/04/1990,970.43,1990,
01/05/1990,1057.54,1990,
01/06/1990,1059.59,1990,
01/07/1990,1000.41,1990,
01/08/1990,862.27,1990,
01/09/1990,772.71,1990,
01/10/1990,735.45,1990,
01/11/1990,799,1990,
01/12/1990,831.71,1990,
01/01/1991,916.21,1991,
01/02/1991,1000.9,1991,
01/03/1991,1063.47,1991,
01/04/1991,1067.35,1991,
01/05/1991,1111.42,1991,
01/06/1991,1041.79,1991,
01/07/1991,1097.46,1991,
01/08/1991,1145.46,1991,
01/09/1991,1143.33,1991,
01/10/1991,1176.64,1991,
01/11/1991,1131.62,1991,
01/12/1991,1265.91,1991,
01/01/1992,1337.17,1992,
01/02/1992,1360.69,1992,
01/03/1992,1290.26,1992,
01/04/1992,1234.9,1992,
01/05/1992,1247.3,1992,
01/06/1992,1196.52,1992,
01/07/1992,1230.78,1992,
01/08/1992,1189.87,1992,
01/09/1992,1228.95,1992,
01/10/1992,1270.86,1992,
01/11/1992,1368.77,1992,
01/12/1992,1420.24,1992,
01/01/1993,1453.96,1993,
01/02/1993,1395.2,1993,
01/03/1993,1430.64,1993,
01/04/1993,1367.16,1993,
01/05/1993,1446.59,1993,
01/06/1993,1451.54,1993,
01/07/1993,1453.09,1993,
01/08/1993,1527.28,1993,
01/09/1993,1565.22,1993,
01/10/1993,1592.03,1993,
01/11/1993,1540.46,1993,
01/12/1993,1586.23,1993,
01/01/1994,1629.76,1994,
01/02/1994,1607.98,1994,
01/03/1994,1503.28,1994,
01/04/1994,1482.36,1994,
01/05/1994,1483.61,1994,
01/06/1994,1420.39,1994,
01/07/1994,1448.65,1994,
01/08/1994,1529.71,1994,
01/09/1994,1523.23,1994,
01/10/1994,1547.98,1994,
01/11/1994,1492.39,1994,
01/12/1994,1495.65,1994,
01/01/1995,1496.05,1995,
01/02/1995,1566.03,1995,
01/03/1995,1606.63,1995,
01/04/1995,1654.2,1995,
01/05/1995,1691.12,1995,
01/06/1995,1822.09,1995,
01/07/1995,1954.36,1995,
01/08/1995,1986.15,1995,
