 value,inflation adjusted,Year
756.1,101.34,1971
788.73,105.97,1971
833.72,112.3,1971
799.64,108.25,1971
790.5,107.8,1971
770.05,105.27,1971
791.14,108.42,1971
795.59,109.03,1971
765.02,105.1,1971
756.8,103.97,1971
826.69,114.12,1971
861.09,118.87,1972
903.74,125.38,1972
921.45,128.14,1972
942.16,131.33,1972
948.52,132.53,1972
928.64,130.08,1972
907.66,127.75,1972
921.09,129.95,1972
916.6,129.61,1972
916.63,130.24,1972
933.51,132.96,1972
936.78,133.73,1972
897.39,128.4,1973
835.65,120.41,1973
807.65,117.46,1973
736.4,107.85,1973
696.1,102.64,1973
680.2,100.98,1973
730.06,108.64,1973
692.25,104.87,1973
732.47,111.2,1973
719.3,110.17,1973
606.51,93.51,1973
594.07,92.19,1973
606.51,94.93,1974
595.07,94.35,1974
574.66,92.27,1974
538.71,86.86,1974
491.31,80.2,1974
461.53,75.96,1974
421.83,69.99,1974
371.35,62.37,1974
327.56,55.67,1974
380.03,65.23,1974
363.91,62.95,1974
343.13,59.82,1974
398.72,69.78,1975
413.98,73,1975
427.4,75.66,1975
442.02,78.54,1975
465.03,83.1,1975
483.31,87.02,1975
456.96,83.19,1975
433.21,79.01,1975
405.32,74.33,1975
417.52,76.99,1975
424.26,78.8,1975
416.35,77.62,1975
466.15,87.05,1976
481.54,90.26,1976
482.64,90.62,1976
478.05,90.08,1976
463.88,88.04,1976
473.37,90.32,1976
475.99,91.29,1976
465.27,89.7,1976
471.72,91.26,1976
464.58,90.35,1976
467.72,91.12,1976
500.66,97.88,1976
486.2,95.54,1977
476.35,94.57,1977
471.03,94.13,1977
473.77,95.48,1977
471.93,95.59,1977
489.18,99.73,1977
491.27,100.65,1977
486.99,100.1,1977
489.02,100.85,1977
471.31,97.52,1977
496.15,103.15,1977
503.61,105.05,1977
480.3,100.84,1978
480.26,101.47,1978
498.72,106.2,1978
536.62,115.18,1978
555.03,120.24,1978
549.29,120.3,1978
572.36,126.32,1978
609.03,135.01,1978
594.95,132.89,1978
493.04,111.12,1978
506.59,114.69,1978
518.88,117.98,1978
548.45,125.82,1979
527.99,122.56,1979
561.96,131.76,1979
564.32,133.82,1979
547.23,131.42,1979
568.82,138.13,1979
575.64,141.33,1979
606.87,150.44,1979
598.57,149.98,1979
536.56,135.53,1979
565.79,144.26,1979
586.57,151.14,1979
619.02,161.75,1980
596.25,158.03,1980
486.93,131,1980
514.46,139.99,1980
547.49,150.45,1980
568.01,157.78,1980
618.52,171.81,1980
648.75,181.52,1980
665.42,187.76,1980
676.85,192.78,1980
724.78,208.15,1980
698.07,202.34,1980
676.91,197.81,1981
670.66,198.01,1981
707.05,210.18,1981
724.13,216.74,1981
740.8,223.47,1981
708.95,215.75,1981
687.8,211.63,1981
631.29,195.75,1981
575.02,180.03,1981
622.23,195.24,1981
639.75,201.37,1981
620.23,195.84,1981
594.75,188.39,1982
564.67,179.43,1982
553.3,175.65,1982
579.4,184.7,1982
554.9,178.54,1982
525.72,171.3,1982
510.92,167.35,1982
541.48,177.71,1982
570.64,187.65,1982
644.69,212.63,1982
705.76,232.31,1982
708.85,232.41,1982
755.98,248.35,1983
792.7,260.67,1983
823.5,270.8,1983
884.75,293.06,1983
926.5,308.73,1983
953.55,318.7,1983
905.8,303.96,1983
868.78,292.42,1983
876.9,296.65,1983
809.37,274.55,1983
840.44,285.67,1983
818.81,278.6,1983
784.35,268.43,1984
734.22,252.57,1984
727.76,250.78,1984
714.61,247.44,1984
670.29,232.82,1984
688.04,239.65,1984
656.94,229.7,1984
725.47,254.64,1984
708.58,249.94,1984
698.27,247,1984
685.26,242.4,1984
698.55,247.1,1984
786.49,278.7,1985
798.32,284.2,1985
781.2,279.2,1985
781.47,280.6,1985
806.97,290.8,1985
819.59,296.2,1985
832.19,301.3,1985
820.76,297.7,1985
770.54,280.3,1985
801.16,292.5,1985
857.53,314,1985
885.03,324.9,1985
912.03,335.8,1986
979.28,359.5,1986
1025.18,374.7,1986
1050.35,383.2,1986
1094.15,400.2,1986
1102.55,405.5,1986
1009.84,371.4,1986
1039.19,382.9,1986
947.59,350.7,1986
973.8,360.8,1986
969.84,359.6,1986
939.67,348.8,1986
1049.65,392.1,1987
1133.9,425,1987
1142.35,430.1,1987
1103.83,417.8,1987
1096.23,416.5,1987
1113.99,424.7,1987
1137.7,434.9,1987
1183.91,455,1987
1150.29,444.3,1987
834.76,323.3,1987
787.42,305.2,1987
852.69,330.5,1987
886.91,344.7,1988
941.72,367,1988
957.1,374.6,1988
963.93,379.2,1988
938.34,370.3,1988
995.83,394.7,1988
972.9,387.3,1988
942.25,376.6,1988
963.43,387.7,1988
947.45,382.5,1988
919.46,371.5,1988
942.44,381.4,1988
986.4,401.3,1989
978.47,399.7,1989
989.91,406.7,1989
1033.94,427.6,1989
1073.11,446.2,1989
1044.28,435.3,1989
1085.94,453.8,1989
1121.16,469.3,1989
1126.45,472.9,1989
1079.77,455.6,1989
1078.68,456.1,1989
1073.78,454.8,1989
971.72,415.8,1990
990.41,425.8,1990
1007.31,435.5,1990
970.43,420.1,1990
1057.54,459,1990
1059.59,462.3,1990
1000.41,438.2,1990
862.27,381.2,1990
772.71,344.5,1990
735.45,329.8,1990
799,359.1,1990
831.71,373.8,1990
916.21,414.2,1991
1000.9,453.1,1991
1063.47,482.3,1991
1067.35,484.72,1991
1111.42,506.11,1991
1041.79,475.92,1991
1097.46,502.04,1991
1145.46,525.68,1991
1143.33,526.88,1991
1176.64,542.98,1991
1131.62,523.9,1991
1265.91,586.34,1991
1337.17,620.21,1992
1360.69,633.47,1992
1290.26,603.77,1992
1234.9,578.68,1992
1247.3,585.31,1992
1196.52,563.6,1992
1230.78,580.83,1992
1189.87,563.12,1992
1228.95,583.27,1992
1270.86,605.17,1992
1368.77,652.73,1992
1420.24,676.95,1992
1453.96,696.34,1993
